,ID,EC number,reaction,flux
22,CITSYN_RXN_x3,2.3.3.1,ACETYL_COA_x3 + OXALACETIC_ACID_x3 + WATER_x3 --> CIT_x3 + CO_A_x3 + PROTON_x3,0.0
23,ATP_pc3,NA,0.9 ATP_p3 + 0.35 PROTON_c3 + 0.1 aATP_p3 <=> 0.65 ATP_c3 + 0.1 PROTON_p3 + 0.35 aATP_c3,0.014174738381773189
24,CITSYN_RXN_x2,2.3.3.1,ACETYL_COA_x2 + OXALACETIC_ACID_x2 + WATER_x2 --> CIT_x2 + CO_A_x2 + PROTON_x2,0.0
25,ATP_pc2,NA,0.9 ATP_p2 + 0.35 PROTON_c2 + 0.1 aATP_p2 <=> 0.65 ATP_c2 + 0.1 PROTON_p2 + 0.35 aATP_c2,0.010295224441805195
26,CITSYN_RXN_x1,2.3.3.1,ACETYL_COA_x1 + OXALACETIC_ACID_x1 + WATER_x1 --> CIT_x1 + CO_A_x1 + PROTON_x1,0.0
27,ATP_pc9,NA,0.9 ATP_p9 + 0.35 PROTON_c9 + 0.1 aATP_p9 <=> 0.65 ATP_c9 + 0.1 PROTON_p9 + 0.35 aATP_c9,0.0005197467243740483
28,CITSYN_RXN_x8,2.3.3.1,ACETYL_COA_x8 + OXALACETIC_ACID_x8 + WATER_x8 --> CIT_x8 + CO_A_x8 + PROTON_x8,0.0
29,ATP_pc8,NA,0.9 ATP_p8 + 0.35 PROTON_c8 + 0.1 aATP_p8 <=> 0.65 ATP_c8 + 0.1 PROTON_p8 + 0.35 aATP_c8,0.0012841082671972703
30,CITSYN_RXN_x7,2.3.3.1,ACETYL_COA_x7 + OXALACETIC_ACID_x7 + WATER_x7 --> CIT_x7 + CO_A_x7 + PROTON_x7,0.0
31,ATP_pc7,NA,0.9 ATP_p7 + 0.35 PROTON_c7 + 0.1 aATP_p7 <=> 0.65 ATP_c7 + 0.1 PROTON_p7 + 0.35 aATP_c7,0.003036718044789036
32,CITSYN_RXN_x6,2.3.3.1,ACETYL_COA_x6 + OXALACETIC_ACID_x6 + WATER_x6 --> CIT_x6 + CO_A_x6 + PROTON_x6,0.0
33,THYMIDYLATESYN_RXN_m9,2.1.1.45,DUMP_m9 + METHYLENE_THF_m9 --> DIHYDROFOLATE_m9 + DTMP_m9,0.0
34,ATP_pc6,NA,0.9 ATP_p6 + 0.35 PROTON_c6 + 0.1 aATP_p6 <=> 0.65 ATP_c6 + 0.1 PROTON_p6 + 0.35 aATP_c6,0.0065059080697537075
35,CITSYN_RXN_x5,2.3.3.1,ACETYL_COA_x5 + OXALACETIC_ACID_x5 + WATER_x5 --> CIT_x5 + CO_A_x5 + PROTON_x5,0.0
36,THYMIDYLATESYN_RXN_m8,2.1.1.45,DUMP_m8 + METHYLENE_THF_m8 --> DIHYDROFOLATE_m8 + DTMP_m8,0.0
37,CITSYN_RXN_x9,2.3.3.1,ACETYL_COA_x9 + OXALACETIC_ACID_x9 + WATER_x9 --> CIT_x9 + CO_A_x9 + PROTON_x9,0.0
38,ATP_pc1,NA,0.9 ATP_p1 + 0.35 PROTON_c1 + 0.1 aATP_p1 <=> 0.65 ATP_c1 + 0.1 PROTON_p1 + 0.35 aATP_c1,0.006535649408872413
39,THR_PROTON_rev_vc1,NA,0.992 PROTON_v1 + 0.992 THR_v1 + 0.008 aTHR_v1 --> PROTON_c1 + THR_c1,0.0
40,GDPKIN_RXN_m3,2.7.4.6,0.9 ATP_m3 + 0.2 GDP_m3 + 0.1 aATP_m3 + 0.8 aGDP_m3 <=> 0.8 ADP_m3 + 0.9 GTP_m3 + 0.6 PROTON_m3 + 0.2 aADP_m3 + 0.1 aGTP_m3,0.0
41,GDPKIN_RXN_m4,2.7.4.6,0.9 ATP_m4 + 0.2 GDP_m4 + 0.1 aATP_m4 + 0.8 aGDP_m4 <=> 0.8 ADP_m4 + 0.9 GTP_m4 + 0.6 PROTON_m4 + 0.2 aADP_m4 + 0.1 aGTP_m4,0.0
42,THR_PROTON_rev_vc3,NA,0.9874 PROTON_v3 + 0.9873 THR_v3 + 0.0126 aTHR_v3 --> PROTON_c3 + THR_c3,0.0
43,GDPKIN_RXN_m1,2.7.4.6,0.9 ATP_m1 + 0.2 GDP_m1 + 0.1 aATP_m1 + 0.8 aGDP_m1 <=> 0.8 ADP_m1 + 0.9 GTP_m1 + 0.6 PROTON_m1 + 0.2 aADP_m1 + 0.1 aGTP_m1,0.0
44,THR_PROTON_rev_vc2,NA,0.9899 PROTON_v2 + 0.9899 THR_v2 + 0.0101 aTHR_v2 --> PROTON_c2 + THR_c2,0.0
45,GDPKIN_RXN_m2,2.7.4.6,0.9 ATP_m2 + 0.2 GDP_m2 + 0.1 aATP_m2 + 0.8 aGDP_m2 <=> 0.8 ADP_m2 + 0.9 GTP_m2 + 0.6 PROTON_m2 + 0.2 aADP_m2 + 0.1 aGTP_m2,0.0
46,GDPKIN_RXN_m7,2.7.4.6,0.9 ATP_m7 + 0.2 GDP_m7 + 0.1 aATP_m7 + 0.8 aGDP_m7 <=> 0.8 ADP_m7 + 0.9 GTP_m7 + 0.6 PROTON_m7 + 0.2 aADP_m7 + 0.1 aGTP_m7,0.0
47,GDPKIN_RXN_m8,2.7.4.6,0.9 ATP_m8 + 0.2 GDP_m8 + 0.1 aATP_m8 + 0.8 aGDP_m8 <=> 0.8 ADP_m8 + 0.9 GTP_m8 + 0.6 PROTON_m8 + 0.2 aADP_m8 + 0.1 aGTP_m8,0.0
48,GDPKIN_RXN_m5,2.7.4.6,0.9 ATP_m5 + 0.2 GDP_m5 + 0.1 aATP_m5 + 0.8 aGDP_m5 <=> 0.8 ADP_m5 + 0.9 GTP_m5 + 0.6 PROTON_m5 + 0.2 aADP_m5 + 0.1 aGTP_m5,0.0
49,GDPKIN_RXN_m6,2.7.4.6,0.9 ATP_m6 + 0.2 GDP_m6 + 0.1 aATP_m6 + 0.8 aGDP_m6 <=> 0.8 ADP_m6 + 0.9 GTP_m6 + 0.6 PROTON_m6 + 0.2 aADP_m6 + 0.1 aGTP_m6,0.0
50,GDPKIN_RXN_m9,2.7.4.6,0.9 ATP_m9 + 0.2 GDP_m9 + 0.1 aATP_m9 + 0.8 aGDP_m9 <=> 0.8 ADP_m9 + 0.9 GTP_m9 + 0.6 PROTON_m9 + 0.2 aADP_m9 + 0.1 aGTP_m9,0.0
51,GLYOHMETRANS_RXN_p1,2.1.2.1,SER_p1 + THF_p1 <=> GLY_p1 + METHYLENE_THF_p1 + WATER_p1,0.0032997135580189333
52,GLYOHMETRANS_RXN_p4,2.1.2.1,SER_p4 + THF_p4 <=> GLY_p4 + METHYLENE_THF_p4 + WATER_p4,0.0
53,GLYOHMETRANS_RXN_p5,2.1.2.1,SER_p5 + THF_p5 <=> GLY_p5 + METHYLENE_THF_p5 + WATER_p5,0.0
54,GLYOHMETRANS_RXN_p2,2.1.2.1,SER_p2 + THF_p2 <=> GLY_p2 + METHYLENE_THF_p2 + WATER_p2,0.0
55,GLYOHMETRANS_RXN_p3,2.1.2.1,SER_p3 + THF_p3 <=> GLY_p3 + METHYLENE_THF_p3 + WATER_p3,0.0
56,GLYOHMETRANS_RXN_p8,2.1.2.1,SER_p8 + THF_p8 <=> GLY_p8 + METHYLENE_THF_p8 + WATER_p8,0.0
57,GLYOHMETRANS_RXN_p9,2.1.2.1,SER_p9 + THF_p9 <=> GLY_p9 + METHYLENE_THF_p9 + WATER_p9,0.0
58,GLYOHMETRANS_RXN_p6,2.1.2.1,SER_p6 + THF_p6 <=> GLY_p6 + METHYLENE_THF_p6 + WATER_p6,0.0
59,GLYOHMETRANS_RXN_p7,2.1.2.1,SER_p7 + THF_p7 <=> GLY_p7 + METHYLENE_THF_p7 + WATER_p7,0.0
60,GLYCEROL_3P_pc10,NA,GLYCEROL_3P_p10 <=> GLYCEROL_3P_c10,-0.0006600590608006052
61,THR_PROTON_rev_vc9,NA,0.9751 PROTON_v9 + 0.9751 THR_v9 + 0.0249 aTHR_v9 --> PROTON_c9 + THR_c9,0.0
62,THR_PROTON_rev_vc8,NA,0.9751 PROTON_v8 + 0.9751 THR_v8 + 0.0249 aTHR_v8 --> PROTON_c8 + THR_c8,0.0
63,THR_PROTON_rev_vc5,NA,0.9801 PROTON_v5 + 0.9801 THR_v5 + 0.0199 aTHR_v5 --> PROTON_c5 + THR_c5,0.0
64,THR_PROTON_rev_vc4,NA,0.9841 PROTON_v4 + 0.9841 THR_v4 + 0.0159 aTHR_v4 --> PROTON_c4 + THR_c4,0.0
65,THR_PROTON_rev_vc7,NA,0.9751 PROTON_v7 + 0.9751 THR_v7 + 0.0249 aTHR_v7 --> PROTON_c7 + THR_c7,0.0
66,THR_PROTON_rev_vc6,NA,0.9751 PROTON_v6 + 0.9751 THR_v6 + 0.0249 aTHR_v6 --> PROTON_c6 + THR_c6,0.0
67,MANNITOL_1_PHOSPHATASE_RXN_c3,NA,MANNITOL_1P_c3 + WATER_c3 --> MANNITOL_c3 + 1.7 PROTON_c3 + 0.7 Pi_c3 + 0.3 aPi_c3,0.0
68,MANNITOL_1_PHOSPHATASE_RXN_c4,NA,MANNITOL_1P_c4 + WATER_c4 --> MANNITOL_c4 + 1.7 PROTON_c4 + 0.7 Pi_c4 + 0.3 aPi_c4,0.0
69,MANNITOL_1_PHOSPHATASE_RXN_c1,NA,MANNITOL_1P_c1 + WATER_c1 --> MANNITOL_c1 + 1.7 PROTON_c1 + 0.7 Pi_c1 + 0.3 aPi_c1,0.0
70,UDPKIN_RXN_p10,2.7.4.6,0.9 ATP_p10 + 1.73 PROTON_p10 + 0.81 UDP_p10 + 0.1 aATP_p10 + 0.19 aUDP_p10 <=> 0.8 ADP_p10 + 0.18 UTP_p10 + 0.2 aADP_p10 + 0.82 aUTP_p10,0.0
71,MANNITOL_1_PHOSPHATASE_RXN_c2,NA,MANNITOL_1P_c2 + WATER_c2 --> MANNITOL_c2 + 1.7 PROTON_c2 + 0.7 Pi_c2 + 0.3 aPi_c2,0.0
72,Pi_PROTON_mc7,NA,PROTON_m7 + Pi_m7 <=> 0.7 PROTON_c7 + 0.7 Pi_c7 + 0.3 aPi_c7,-27.207681158879712
73,Pi_PROTON_mc6,NA,PROTON_m6 + Pi_m6 <=> 0.7 PROTON_c6 + 0.7 Pi_c6 + 0.3 aPi_c6,-28.143699389101997
74,pLEU_biomass1,NA,Charged_LEU_tRNAs_c1 + Protein_polymerisation_cost_c1 + Protein_processing_cost_c1 + Protein_tranlocation_cost_c1 + WATER_c1 --> LEU_tRNAs_c1 + 2.0 PROTON_c1 + pLEU_b1,6.024485522855437e-05
75,Pi_PROTON_mc9,NA,PROTON_m9 + Pi_m9 <=> 0.7 PROTON_c9 + 0.7 Pi_c9 + 0.3 aPi_c9,-23.719669409550026
76,Pi_PROTON_mc8,NA,PROTON_m8 + Pi_m8 <=> 0.7 PROTON_c8 + 0.7 Pi_c8 + 0.3 aPi_c8,-24.70711704653245
77,pLEU_biomass4,NA,Charged_LEU_tRNAs_c4 + Protein_polymerisation_cost_c4 + Protein_processing_cost_c4 + Protein_tranlocation_cost_c4 + WATER_c4 --> LEU_tRNAs_c4 + 2.0 PROTON_c4 + pLEU_b4,0.00016029252153809678
78,pLEU_biomass5,NA,Charged_LEU_tRNAs_c5 + Protein_polymerisation_cost_c5 + Protein_processing_cost_c5 + Protein_tranlocation_cost_c5 + WATER_c5 --> LEU_tRNAs_c5 + 2.0 PROTON_c5 + pLEU_b5,0.00012690699515358606
79,pLEU_biomass2,NA,Charged_LEU_tRNAs_c2 + Protein_polymerisation_cost_c2 + Protein_processing_cost_c2 + Protein_tranlocation_cost_c2 + WATER_c2 --> LEU_tRNAs_c2 + 2.0 PROTON_c2 + pLEU_b2,9.312317568539631e-05
80,pLEU_biomass3,NA,Charged_LEU_tRNAs_c3 + Protein_polymerisation_cost_c3 + Protein_processing_cost_c3 + Protein_tranlocation_cost_c3 + WATER_c3 --> LEU_tRNAs_c3 + 2.0 PROTON_c3 + pLEU_b3,0.00013882784611014354
81,pLEU_biomass8,NA,Charged_LEU_tRNAs_c8 + Protein_polymerisation_cost_c8 + Protein_processing_cost_c8 + Protein_tranlocation_cost_c8 + WATER_c8 --> LEU_tRNAs_c8 + 2.0 PROTON_c8 + pLEU_b8,1.1110797499274749e-05
82,pLEU_biomass9,NA,Charged_LEU_tRNAs_c9 + Protein_polymerisation_cost_c9 + Protein_processing_cost_c9 + Protein_tranlocation_cost_c9 + WATER_c9 --> LEU_tRNAs_c9 + 2.0 PROTON_c9 + pLEU_b9,3.5720436442580268e-06
83,Pi_PROTON_mc1,NA,PROTON_m1 + Pi_m1 <=> 0.7 PROTON_c1 + 0.7 Pi_c1 + 0.3 aPi_c1,-30.773587531284186
84,pLEU_biomass6,NA,Charged_LEU_tRNAs_c6 + Protein_polymerisation_cost_c6 + Protein_processing_cost_c6 + Protein_tranlocation_cost_c6 + WATER_c6 --> LEU_tRNAs_c6 + 2.0 PROTON_c6 + pLEU_b6,7.02889042806184e-05
85,pLEU_biomass7,NA,Charged_LEU_tRNAs_c7 + Protein_polymerisation_cost_c7 + Protein_processing_cost_c7 + Protein_tranlocation_cost_c7 + WATER_c7 --> LEU_tRNAs_c7 + 2.0 PROTON_c7 + pLEU_b7,3.0278291672906273e-05
86,Pi_PROTON_mc3,NA,PROTON_m3 + Pi_m3 <=> 0.7 PROTON_c3 + 0.7 Pi_c3 + 0.3 aPi_c3,-37.99593961849738
87,Pi_PROTON_mc2,NA,PROTON_m2 + Pi_m2 <=> 0.7 PROTON_c2 + 0.7 Pi_c2 + 0.3 aPi_c2,-32.089741844703454
88,Pi_PROTON_mc5,NA,PROTON_m5 + Pi_m5 <=> 0.7 PROTON_c5 + 0.7 Pi_c5 + 0.3 aPi_c5,-29.325932124189816
89,Pi_PROTON_mc4,NA,PROTON_m4 + Pi_m4 <=> 0.7 PROTON_c4 + 0.7 Pi_c4 + 0.3 aPi_c4,-31.78512029654954
90,NADH_DEHYDROG_A_RXN_mi5,1.6.5.3,NADH_m5 + 5.0 PROTON_m5 + UBIQUINONE_mi5 --> NAD_m5 + 4.0 PROTON_i5 + UBIQUINOL_mi5,8.200290671665906
91,NADH_DEHYDROG_A_RXN_mi6,1.6.5.3,NADH_m6 + 5.0 PROTON_m6 + UBIQUINONE_mi6 --> NAD_m6 + 4.0 PROTON_i6 + UBIQUINOL_mi6,7.740636139339539
92,NADH_DEHYDROG_A_RXN_mi7,1.6.5.3,NADH_m7 + 5.0 PROTON_m7 + UBIQUINONE_mi7 --> NAD_m7 + 4.0 PROTON_i7 + UBIQUINOL_mi7,7.401378613160115
93,NADH_DEHYDROG_A_RXN_mi8,1.6.5.3,NADH_m8 + 5.0 PROTON_m8 + UBIQUINONE_mi8 --> NAD_m8 + 4.0 PROTON_i8 + UBIQUINOL_mi8,6.6924631802049355
94,NADH_DEHYDROG_A_RXN_mi9,1.6.5.3,NADH_m9 + 5.0 PROTON_m9 + UBIQUINONE_mi9 --> NAD_m9 + 4.0 PROTON_i9 + UBIQUINOL_mi9,6.41738509446559
95,MANNITOL_1_PHOSPHATASE_RXN_c9,NA,MANNITOL_1P_c9 + WATER_c9 --> MANNITOL_c9 + 1.7 PROTON_c9 + 0.7 Pi_c9 + 0.3 aPi_c9,0.0
96,NADH_DEHYDROG_A_RXN_mi1,1.6.5.3,NADH_m1 + 5.0 PROTON_m1 + UBIQUINONE_mi1 --> NAD_m1 + 4.0 PROTON_i1 + UBIQUINOL_mi1,8.386420818257143
97,MANNITOL_1_PHOSPHATASE_RXN_c7,NA,MANNITOL_1P_c7 + WATER_c7 --> MANNITOL_c7 + 1.7 PROTON_c7 + 0.7 Pi_c7 + 0.3 aPi_c7,0.0
98,FORMATE_mc10,NA,FORMATE_m10 <=> FORMATE_c10,0.0
99,NADH_DEHYDROG_A_RXN_mi2,1.6.5.3,NADH_m2 + 5.0 PROTON_m2 + UBIQUINONE_mi2 --> NAD_m2 + 4.0 PROTON_i2 + UBIQUINOL_mi2,8.79351601988923
100,MANNITOL_1_PHOSPHATASE_RXN_c8,NA,MANNITOL_1P_c8 + WATER_c8 --> MANNITOL_c8 + 1.7 PROTON_c8 + 0.7 Pi_c8 + 0.3 aPi_c8,0.0
101,NADH_DEHYDROG_A_RXN_mi3,1.6.5.3,NADH_m3 + 5.0 PROTON_m3 + UBIQUINONE_mi3 --> NAD_m3 + 4.0 PROTON_i3 + UBIQUINOL_mi3,10.43447878825978
102,MANNITOL_1_PHOSPHATASE_RXN_c5,NA,MANNITOL_1P_c5 + WATER_c5 --> MANNITOL_c5 + 1.7 PROTON_c5 + 0.7 Pi_c5 + 0.3 aPi_c5,0.0
103,NADH_DEHYDROG_A_RXN_mi4,1.6.5.3,NADH_m4 + 5.0 PROTON_m4 + UBIQUINONE_mi4 --> NAD_m4 + 4.0 PROTON_i4 + UBIQUINOL_mi4,9.247473480376183
104,MANNITOL_1_PHOSPHATASE_RXN_c6,NA,MANNITOL_1P_c6 + WATER_c6 --> MANNITOL_c6 + 1.7 PROTON_c6 + 0.7 Pi_c6 + 0.3 aPi_c6,0.0
105,SULFATE_ADENYLYLTRANS_RXN_p10,2.7.7.4,0.9 ATP_p10 + 0.45 PROTON_p10 + SULFATE_p10 + 0.1 aATP_p10 --> APS_p10 + 0.55 PPI_p10 + 0.45 bPPI_p10,0.001771930943246354
106,ARG_pc9,NA,0.93 ARG_p9 + 0.07 PROTON_p9 + 0.07 bARG_p9 <=> ARG_c9,6.55538612652021e-06
107,UDP_GLUCURONATE_DECARBOXYLASE_RXN_c10,4.1.1.35,PROTON_c10 + UDP_GLUCURONATE_c10 --> CARBON_DIOXIDE_c10 + UDP_D_XYLOSE_c10,0.0
108,RXN_7676_p10,1.13.12.14,CHLOROPHYLLIDE_A_p10 + NADPH_p10 + OXYGEN_MOLECULE_p10 + PROTON_p10 --> CPD_7015_p10 + NADP_p10 + WATER_p10,0.0
109,ARG_pc4,NA,0.93 ARG_p4 + 0.07 PROTON_p4 + 0.07 bARG_p4 <=> ARG_c4,0.0
110,ARG_pc3,NA,0.93 ARG_p3 + 0.07 PROTON_p3 + 0.07 bARG_p3 <=> ARG_c3,0.0029746772480964178
111,ARG_pc2,NA,0.93 ARG_p2 + 0.07 PROTON_p2 + 0.07 bARG_p2 <=> ARG_c2,0.007119214942047468
112,ARG_pc1,NA,0.93 ARG_p1 + 0.07 PROTON_p1 + 0.07 bARG_p1 <=> ARG_c1,0.001371569707146851
113,ARG_pc8,NA,0.93 ARG_p8 + 0.07 PROTON_p8 + 0.07 bARG_p8 <=> ARG_c8,2.0390447321013523e-05
114,ARG_pc7,NA,0.93 ARG_p7 + 0.07 PROTON_p7 + 0.07 bARG_p7 <=> ARG_c7,0.0
115,ARG_pc6,NA,0.93 ARG_p6 + 0.07 PROTON_p6 + 0.07 bARG_p6 <=> ARG_c6,0.0
116,ARG_pc5,NA,0.93 ARG_p5 + 0.07 PROTON_p5 + 0.07 bARG_p5 <=> ARG_c5,0.0
117,TYR_PROTON_vc3,NA,1.0079 PROTON_v3 + TYR_c3 --> PROTON_c3 + 0.9921 TYR_v3 + 0.0079 aTYR_v3,0.0
118,GLYOHMETRANS_RXN_m9,2.1.2.1,SER_m9 + THF_m9 <=> GLY_m9 + METHYLENE_THF_m9 + WATER_m9,0.0
119,VALINE_TRNA_LIGASE_RXN_c6,6.1.1.9,0.65 ATP_c6 + PROTON_c6 + VAL_c6 + VAL_tRNAs_c6 + 0.35 aATP_c6 --> AMP_c6 + Charged_VAL_tRNAs_c6 + 0.65 PPI_c6 + 0.35 aPPI_c6,0.0020872064374293496
120,TYR_PROTON_vc4,NA,1.0099 PROTON_v4 + TYR_c4 --> PROTON_c4 + 0.9901 TYR_v4 + 0.0099 aTYR_v4,0.006646569396534126
121,VALINE_TRNA_LIGASE_RXN_c5,6.1.1.9,0.65 ATP_c5 + PROTON_c5 + VAL_c5 + VAL_tRNAs_c5 + 0.35 aATP_c5 --> AMP_c5 + Charged_VAL_tRNAs_c5 + 0.65 PPI_c5 + 0.35 aPPI_c5,0.003768462461470166
122,TYR_PROTON_vc5,NA,1.0124 PROTON_v5 + TYR_c5 --> PROTON_c5 + 0.9876 TYR_v5 + 0.0124 aTYR_v5,0.0
123,GLYOHMETRANS_RXN_m7,2.1.2.1,SER_m7 + THF_m7 <=> GLY_m7 + METHYLENE_THF_m7 + WATER_m7,0.0
124,VALINE_TRNA_LIGASE_RXN_c8,6.1.1.9,0.65 ATP_c8 + PROTON_c8 + VAL_c8 + VAL_tRNAs_c8 + 0.35 aATP_c8 --> AMP_c8 + Charged_VAL_tRNAs_c8 + 0.65 PPI_c8 + 0.35 aPPI_c8,0.00032993156320769077
125,TYR_PROTON_vc6,NA,1.0156 PROTON_v6 + TYR_c6 --> PROTON_c6 + 0.9844 TYR_v6 + 0.0156 aTYR_v6,0.0
126,GLYOHMETRANS_RXN_m8,2.1.2.1,SER_m8 + THF_m8 <=> GLY_m8 + METHYLENE_THF_m8 + WATER_m8,-0.0002554770127250836
127,VALINE_TRNA_LIGASE_RXN_c7,6.1.1.9,0.65 ATP_c7 + PROTON_c7 + VAL_c7 + VAL_tRNAs_c7 + 0.35 aATP_c7 --> AMP_c7 + Charged_VAL_tRNAs_c7 + 0.65 PPI_c7 + 0.35 aPPI_c7,0.0008991041465342563
128,VALINE_TRNA_LIGASE_RXN_c2,6.1.1.9,0.65 ATP_c2 + PROTON_c2 + VAL_c2 + VAL_tRNAs_c2 + 0.35 aATP_c2 --> AMP_c2 + Charged_VAL_tRNAs_c2 + 0.65 PPI_c2 + 0.35 aPPI_c2,0.002765262792950077
129,VALINE_TRNA_LIGASE_RXN_c1,6.1.1.9,0.65 ATP_c1 + PROTON_c1 + VAL_c1 + VAL_tRNAs_c1 + 0.35 aATP_c1 --> AMP_c1 + Charged_VAL_tRNAs_c1 + 0.65 PPI_c1 + 0.35 aPPI_c1,0.0017889516267464514
130,TYR_PROTON_vc1,NA,1.005 PROTON_v1 + TYR_c1 --> PROTON_c1 + 0.995 TYR_v1 + 0.005 aTYR_v1,0.0
131,VALINE_TRNA_LIGASE_RXN_c4,6.1.1.9,0.65 ATP_c4 + PROTON_c4 + VAL_c4 + VAL_tRNAs_c4 + 0.35 aATP_c4 --> AMP_c4 + Charged_VAL_tRNAs_c4 + 0.65 PPI_c4 + 0.35 aPPI_c4,0.004759834944793008
132,TYR_PROTON_vc2,NA,1.0063 PROTON_v2 + TYR_c2 --> PROTON_c2 + 0.9937 TYR_v2 + 0.0063 aTYR_v2,0.0
133,VALINE_TRNA_LIGASE_RXN_c3,6.1.1.9,0.65 ATP_c3 + PROTON_c3 + VAL_c3 + VAL_tRNAs_c3 + 0.35 aATP_c3 --> AMP_c3 + Charged_VAL_tRNAs_c3 + 0.65 PPI_c3 + 0.35 aPPI_c3,0.0041224483019212796
134,VALINE_TRNA_LIGASE_RXN_c9,6.1.1.9,0.65 ATP_c9 + PROTON_c9 + VAL_c9 + VAL_tRNAs_c9 + 0.35 aATP_c9 --> AMP_c9 + Charged_VAL_tRNAs_c9 + 0.65 PPI_c9 + 0.35 aPPI_c9,0.00010607068875776694
135,GLYOHMETRANS_RXN_m1,2.1.2.1,SER_m1 + THF_m1 <=> GLY_m1 + METHYLENE_THF_m1 + WATER_m1,0.0
136,GLYOHMETRANS_RXN_m2,2.1.2.1,SER_m2 + THF_m2 <=> GLY_m2 + METHYLENE_THF_m2 + WATER_m2,0.0
137,TYR_PROTON_vc7,NA,1.0156 PROTON_v7 + TYR_c7 --> PROTON_c7 + 0.9844 TYR_v7 + 0.0156 aTYR_v7,0.0
138,GLYOHMETRANS_RXN_m5,2.1.2.1,SER_m5 + THF_m5 <=> GLY_m5 + METHYLENE_THF_m5 + WATER_m5,0.0
139,TYR_PROTON_vc8,NA,1.0156 PROTON_v8 + TYR_c8 --> PROTON_c8 + 0.9844 TYR_v8 + 0.0156 aTYR_v8,0.0
140,GLYOHMETRANS_RXN_m6,2.1.2.1,SER_m6 + THF_m6 <=> GLY_m6 + METHYLENE_THF_m6 + WATER_m6,0.0
141,TYR_PROTON_vc9,NA,1.0156 PROTON_v9 + TYR_c9 --> PROTON_c9 + 0.9844 TYR_v9 + 0.0156 aTYR_v9,0.0
